name,stationID,evaNr,rl100Code,lat,lon
Berlin-Hohenschönhausen,544,,,52.5660016,13.5124218
Berlin-Karlshorst,545,,,52.4797942,13.5279465
Berlin-Karow,546,,,52.614884,13.469204
Berlin-Kaulsdorf,547,,,52.512093,13.58894
Berlin-Köpenick,548,,,52.45861,13.580942
Berlin-Lichtenberg,549,,,52.5101355,13.4966934
Berlin-Lichterfelde Ost,7720,,,52.429451,13.328556
Berlin-Lichterfelde West,550,,,52.44335,13.293732
Berlin-Mahlsdorf,551,,,52.512107,13.611417
Berlin-Marienfelde,552,,,52.423634,13.375127
Berlin-Marzahn,553,,,52.543608,13.541341
Berlin-Neukölln,554,,,52.46942,13.44306
Berlin-Nordbahnhof,532,,,52.532066,13.388464
Berlin-Pankow,555,,,52.566477,13.41077
Berlin-Rummelsburg,556,,,52.501309,13.478362
Berlin-Schlachtensee,557,,,52.439976,13.215025
Berlin-Schöneweide Pbf,559,,,52.455127,13.509395
Berlin-Schönholz,560,,,52.571422,13.381111
Berlin-Spandau,561,,,52.5346481,13.1968975
Berlin-Spindlersfeld,563,,,52.447162,13.561448
Berlin-Staaken,564,,,52.537693,13.141367
Berlin-Tegel,7721,,,52.587998,13.289781
Berlin-Tempelhof,565,,,52.470967,13.384547
Berlin-Wannsee,566,,,52.4209723,13.1795275
Berlin-Westkreuz,6723,,,52.500737,13.283966
Berlin-Wilhelmsruh,567,,,52.581447,13.362976
Berlin-Zehlendorf,568,,,52.431067,13.258659
Berliner Tor,569,,,53.55287,10.02463
Bermatingen-Ahausen,570,,,47.730488,9.345157
Bernau (b Berlin),571,,,52.6755689,13.5926414
Bernau a. Chiemsee,572,,,47.816482,12.380957
Bernau-Friedenstal,7910,,,52.668385,13.564578
Bernburg Hbf,573,,,51.79612,11.751455
Bernburg-Roschwitz,8233,,,51.7811,11.7593
Bernburg-Strenzfeld,575,,,51.819892,11.717645
Bernburg-Waldau,576,,,51.805781,11.723312
Berne,577,,,53.183779,8.475368
Bernried,578,,,47.861387,11.283658
Bernterode,580,,,51.405465,10.479945
Bersenbrück,581,,,52.551242,7.942405
Berthelsdorf (Erzgeb),583,,,50.875591,13.363608
Berzhahn,585,,,50.539891,8.006031
Besch,587,,,49.504391,6.372303
Besigheim,588,,,48.997723,9.136645
Besseringen,589,,,49.475974,6.602559
Bestensee,590,,,52.242129,13.63492
Bestwig,591,,,51.361913,8.397839
Betriebsbahnhof Berlin-Rummelsburg,592,,,52.493827,13.497786
Bettmannsäge,596,,,48.997687,13.186274
Betzdorf (Sieg),597,,,50.789294,7.87005
Beucha,599,,,51.32362,12.573133
Beuggen,602,,,47.581906,7.810915
Beuna (Geiseltal),603,,,51.3228096,11.9627622
Beuren,604,,,51.377127,10.279034
Beuron,605,,,48.048791,8.97189
Beusselstraße,7726,,,52.534354,13.329042
Beutelsbach,606,,,48.810293,9.386029
Beutersitz,607,,,51.590359,13.360724
Beverungen-Wehrden,7958,,,51.709614,9.382552
Bexbach,609,,,49.345698,7.254456
Beyendorf,610,,,52.061145,11.63105
Biberach (Baden),612,,,48.338388,8.032762
Biberach (Riß),613,,,48.101845,9.793127
Biberach Süd,6918,,,48.087018,9.803236
Biblis,614,,,49.688881,8.450413
Bibra,615,,,50.468757,10.444326
Bichl,616,,,47.723815,11.408769
Bickenbach (Bergstr),618,,,49.7603795,8.60349655
Biebesheim,619,,,49.781977,8.473978
Biederitz,621,,,52.15271,11.716466
Bielefeld Hbf,622,,,52.029261,8.532722
Bielefeld Ost,623,,,52.024013,8.559416
Bielefeld-Brackwede,811,,,51.997378,8.498426
Bielefeld-Senne,8281,,,51.965118,8.520335
Bielefeld-Sennestadt,5825,,,51.940582,8.567477
Bielefeld-Windelsbleiche,6792,,,51.957007,8.531378
Biendorf,624,,,51.756861,11.856411
Bienenbüttel,625,,,53.142127,10.484714
Bienenmühle,626,,,50.740399,13.528533
Bierbach,627,,,49.26189,7.282011
Bieren-Rödinghausen,628,,,52.239275,8.516964
Bieringen,629,,,48.449029,8.860915
Biesdorf,631,,,52.513097,13.555878
Biesenrode,632,,,51.6039785,11.3850921
Biesenthal,633,,,52.755415,13.674665
Biessenhofen,634,,,47.829956,10.640467
Bietigheim (Baden),635,,,48.910587,8.258045
